"year","number","name","seasonal.status","Municipality","total_docks","station.id","n_institutions_1km","n_mbta_1km","Lat","Long","population","month","avg_TMIN","avg_TMAX","avg_precip","total_trips","membership_total"
2020,"A32026","Purchase St at Pearl St","Year Round","Boston",19,192,6,32,42.354659,-71.053181,675466,7,67.8,82.8,0.06,84,51
2020,"A32026","Purchase St at Pearl St","Year Round","Boston",19,192,6,32,42.354659,-71.053181,675466,8,66.3,81.9,0.07,84,51
2020,"A32026","Purchase St at Pearl St","Year Round","Boston",19,192,6,32,42.354659,-71.053181,675466,9,57.3,73.8,0.03,84,51
2020,"A32028","Bennington St at Byron St","Year Round","Boston",15,210,0,5,42.38353252,-71.01619095,675466,6,60.6,77.8,0.09,19,4
2020,"A32028","Bennington St at Byron St","Year Round","Boston",15,210,0,5,42.38353252,-71.01619095,675466,7,67.8,82.8,0.06,19,4
2020,"A32028","Bennington St at Byron St","Year Round","Boston",15,210,0,5,42.38353252,-71.01619095,675466,8,66.3,81.9,0.07,19,4
2020,"A32028","Bennington St at Byron St","Year Round","Boston",15,210,0,5,42.38353252,-71.01619095,675466,9,57.3,73.8,0.03,19,4
2020,"A32029","Piers Park","Winter Storage","Boston",15,211,0,8,42.3650112,-71.03528559,675466,6,60.6,77.8,0.09,65,35
2020,"A32029","Piers Park","Winter Storage","Boston",15,211,0,8,42.3650112,-71.03528559,675466,7,67.8,82.8,0.06,65,35
2020,"A32029","Piers Park","Winter Storage","Boston",15,211,0,8,42.3650112,-71.03528559,675466,8,66.3,81.9,0.07,65,35
2020,"A32029","Piers Park","Winter Storage","Boston",15,211,0,8,42.3650112,-71.03528559,675466,9,57.3,73.8,0.03,65,35
2020,"A32030","Maverick Square - Lewis Mall","Year Round","Boston",33,212,0,11,42.36884408,-71.03977829,675466,6,60.6,77.8,0.09,93,51
2020,"A32030","Maverick Square - Lewis Mall","Year Round","Boston",33,212,0,11,42.36884408,-71.03977829,675466,7,67.8,82.8,0.06,93,51
2020,"A32030","Maverick Square - Lewis Mall","Year Round","Boston",33,212,0,11,42.36884408,-71.03977829,675466,8,66.3,81.9,0.07,93,51
2020,"A32030","Maverick Square - Lewis Mall","Year Round","Boston",33,212,0,11,42.36884408,-71.03977829,675466,9,57.3,73.8,0.03,93,51
2020,"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","Year Round","Boston",16,213,0,12,42.369536,-71.039431,675466,6,60.6,77.8,0.09,26,16
2020,"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","Year Round","Boston",16,213,0,12,42.369536,-71.039431,675466,7,67.8,82.8,0.06,26,16
2020,"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","Year Round","Boston",16,213,0,12,42.369536,-71.039431,675466,8,66.3,81.9,0.07,26,16
2020,"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","Year Round","Boston",16,213,0,12,42.369536,-71.039431,675466,9,57.3,73.8,0.03,26,16
2020,"A32032","Bremen St at Marion St","Year Round","Boston",11,214,0,12,42.37410622,-71.03276253,675466,6,60.6,77.8,0.09,121,45
2020,"A32032","Bremen St at Marion St","Year Round","Boston",11,214,0,12,42.37410622,-71.03276253,675466,7,67.8,82.8,0.06,121,45
2020,"A32032","Bremen St at Marion St","Year Round","Boston",11,214,0,12,42.37410622,-71.03276253,675466,8,66.3,81.9,0.07,121,45
2020,"A32032","Bremen St at Marion St","Year Round","Boston",11,214,0,12,42.37410622,-71.03276253,675466,9,57.3,73.8,0.03,121,45
2020,"A32033","The Eddy - New St at Sumner St","Year Round","Boston",15,215,1,13,42.370744,-71.044201,675466,6,60.6,77.8,0.09,37,23
2020,"A32033","The Eddy - New St at Sumner St","Year Round","Boston",15,215,1,13,42.370744,-71.044201,675466,7,67.8,82.8,0.06,37,23
2020,"A32033","The Eddy - New St at Sumner St","Year Round","Boston",15,215,1,13,42.370744,-71.044201,675466,8,66.3,81.9,0.07,37,23
2020,"A32033","The Eddy - New St at Sumner St","Year Round","Boston",15,215,1,13,42.370744,-71.044201,675466,9,57.3,73.8,0.03,37,23
2020,"A32034","Glendon St at Condor St","Winter Storage","Boston",19,216,0,6,42.38240378,-71.03024304,675466,6,60.6,77.8,0.09,13,4
2020,"A32034","Glendon St at Condor St","Winter Storage","Boston",19,216,0,6,42.38240378,-71.03024304,675466,7,67.8,82.8,0.06,13,4
2020,"A32034","Glendon St at Condor St","Winter Storage","Boston",19,216,0,6,42.38240378,-71.03024304,675466,8,66.3,81.9,0.07,13,4
2020,"A32034","Glendon St at Condor St","Winter Storage","Boston",19,216,0,6,42.38240378,-71.03024304,675466,9,57.3,73.8,0.03,13,4
2020,"A32035","Orient Heights T Stop - Bennington St at Saratoga St","Year Round","Boston",19,217,0,5,42.386781,-71.006098,675466,6,60.6,77.8,0.09,71,26
2020,"A32035","Orient Heights T Stop - Bennington St at Saratoga St","Year Round","Boston",19,217,0,5,42.386781,-71.006098,675466,7,67.8,82.8,0.06,71,26
2020,"A32035","Orient Heights T Stop - Bennington St at Saratoga St","Year Round","Boston",19,217,0,5,42.386781,-71.006098,675466,8,66.3,81.9,0.07,71,26
2020,"A32035","Orient Heights T Stop - Bennington St at Saratoga St","Year Round","Boston",19,217,0,5,42.386781,-71.006098,675466,9,57.3,73.8,0.03,71,26
2020,"A32036","Boston East - 126 Border St","Year Round","Boston",15,219,0,13,42.37331213,-71.04102008,675466,6,60.6,77.8,0.09,18,7
2020,"A32036","Boston East - 126 Border St","Year Round","Boston",15,219,0,13,42.37331213,-71.04102008,675466,7,67.8,82.8,0.06,18,7
2020,"A32036","Boston East - 126 Border St","Year Round","Boston",15,219,0,13,42.37331213,-71.04102008,675466,8,66.3,81.9,0.07,18,7
2020,"A32036","Boston East - 126 Border St","Year Round","Boston",15,219,0,13,42.37331213,-71.04102008,675466,9,57.3,73.8,0.03,18,7
2020,"A32037","Washington St at Egremont Rd","Winter Storage","Boston",15,354,1,9,42.34286835,-71.14127841,675466,6,60.6,77.8,0.09,84,56
2020,"A32037","Washington St at Egremont Rd","Winter Storage","Boston",15,354,1,9,42.34286835,-71.14127841,675466,7,67.8,82.8,0.06,84,56
